,Продукт,Часы
1,Говядина отварная ПФ,36
2,Говядина очищенная ПФ,48
3,Свинина отварная ПФ,36
4,Свинина очищенная ПФ,48
5,Фарш говяжий жареный п\ф,48
8,Бекон ПФ,72
9,Ветчина ПФ,72
10,Говядина деликатесная ПФ,72
11,Карбонад ПФ,72
12,Колбаса Рамазанская ПФ,72
13,Колбаски говяжьи ПФ,72
14,Колбаски конина ПФ,72
17,Гребешок ПФ,24
18,Краб ПФ,48
19,Креветка жареная в кляре ПФ,36
20,Креветки тигровые отварные ПФ,12
21,Креветки тигровые очищенные ПФ,24
22,Лосось жареный ПФ,36
23,Лосось копченый ПФ,48
24,Лосось ПФ,24
25,Лосось чернота ПФ,24
26,Лосось на коже ПФ,24
27,Мидии ПФ,24
28,Осьминог ПФ,24
29,Осьмног вареный ПФ,24
30,Тунец ПФ,24
31,Угорь ПФ,24
35,Куриная грудка в кляре ПФ,18
36,Куриная грудка жареная для роллов ПФ,48
37,Куриное филе ПФ,48
38,Куриные крылышки в панировке ПФ,72
39,Куриные крылышки ПФ,72
40,Куриные нагитсы ПФ,72
41,Куриные стрипсы ПФ,72
42,Филе грудки цыпленка запеченное ПФ,72
43,Рыбные палочки жареные ПФ,48
44,Кольца кальмаров ПФ,72
45,Икра зернистая красная ПФ,12
46,Икра массага зеленая ПФ,12
47,Икра массага красная ПФ,12
48,Икра массага оранжевая ПФ,12
49,Икра массага черная ПФ,12
50,Утка ПФ,48
51,Сырные палочки ПФ,72
54,Авокадо ПФ,24
55,Апельсин ПФ,24
56,Банан ПФ,18
57,Груша ПФ,18
58,Имбирь ПФ,24
59,Картофель деревенский ПФ,72
60,Картофель фри п\ф,72
61,Киви Пф,18
62,Лист салата ПФ,24
63,Лук зеленый ПФ,24
64,Лук красный очищенный ПФ,24
65,Лук порей ПФ,24
66,Лук репчатый очищенный ПФ,24
67,Луковые кольца п\ф,72
68,Манго ПФ,18
69,Морковь очищенная ПФ,24
70,Морковь по-Корейски ПФ,48
71,Огурцы ПФ,24
72,Перец болгарский очищенный ПФ,24
73,Помидоры очищенные ПФ,24
74,Салат Айсберг ПФ,24
75,Сельдерей стебель ПФ,24
76,Укроп ПФ,18
77,Цуккини св ПФ,24
78,Чеснок очищенный ПФ,24
79,Чукка ПФ,24
80,Шампиньоны свежие ПФ,24
81,Яблоки ПФ,24
85,Блинчик п/ф,12
86,Васаби п\ф,24
87,Кляр для панировки ПФ,24
88,Кляр п/ф,24
89,Креметте с сахарной пудрой (Масса) ПФ,24
90,Лапша Соба отварная ПФ,12
91,Лапша Сомен отварная ПФ,12
92,Лапша Удон отварная ПФ,12
93,Лапша Хурасаме отварная ПФ,12
94,Лапша Черная отварная ПФ,12
95,Лапша Яичная отварная ПФ,12
96,Мицукан п/ф,48
97,Рис для суши п/ф,12
98,Рис отварной ПФ,12
99,Рис сладкий ПФ,12
100,Сливочный блинчик п/ф,12
101,Соус Бостон п\ф,48
102,Соус Верона ПФ,48
103,Соус Вулкан п\ф,48
104,Соус Дасей п/ф,48
105,Соус для салата с авокадо ПФ,48
106,Соус Жульен ПФ,48
107,Соус Запеченная Лава п\ф,48
108,Соус Изуми п\ф,48
109,Соус Калифорния Де Люкс п\ф,48
110,Соус Лава де Люкс п/ф,48
111,Соус Лава п/ф,48
112,Соус Мацохиро п\ф,48
113,Соус Нагасаки п/ф,48
114,Соус Сливочный ПФ,48
115,Соус соевый ПФ,48
116,Соус Спайси ПФ,48
117,Соус Том Ям на роллы ПФ,48
118,Соус Том Ям ПФ,48
119,Соус Тотоми ПФ,48
120,Соус Унаги Заготовка ПФ,48
121,Соус Филадельфия Де Люкс п\ф,48
122,Соус Фудзи п/ф,48
123,Соус Цезарь п/ф,48
124,Спагетти Карбонара отварная ПФ,48
125,Сыр жареный в кляре и сухарях ПФ,48
126,Тесто для пиццы п/ф,24
127,Фарфале отварная ПФ,12
128,Фетучини отварная ПФ,12
129,Хлеб тостовый Харрис ПФ,24
130,Шоколадный блинчик п\ф,12
131,Яичный блинчик ПФ,12
132,Тестовый продукт,1
